word,phonetic,definition_zh,definition_en,example,tags,audio_file
booth,bʊθ,n  小房间； 公用电话亭； 售货棚,"a small partly enclosed place where one person can do something privately, such as use the telephone or vote",a voting booth,sholvoir;ielts;exam;core,
unique,jʊ'nik,adj  唯一的， 独一无二的； 极不寻常的， 极好的,unusually good and special,a unique opportunity to study these rare creatures,sholvoir;ielts;exam;core,
boost,bʊst,vt 使增长，使兴旺；鼓励，促进；为…作宣传，宣扬; n  增加， 提高； 帮助， 激励,"to increase or improve something and make it more successful; something that gives someone more confidence, or that helps something increase, improve, or become successful",The new resort area has boosted tourism.,sholvoir;ielts;exam;core,
sincere,sɪn'sɪr,adj  真挚的， 诚挚的， 真诚的， 诚恳的,"a feeling, belief, or statement that is sincere is honest and true, and based on what you really feel and believe",Please accept my sincere apologies .,sholvoir;ielts;exam;core,
capsize,'kæpsaɪz,v  翻， 倾覆,"if a boat capsizes, or if you capsize it, it turns over in the water",The sea got very rough and the boat capsized.,sholvoir;ielts;exam;core,
ministry,'mɪnɪstri,n  部,"a government department that is responsible for one of the areas of government work, such as education or health",...the Ministry of Justice.,sholvoir;ielts;exam;core,
maternal,mə'tɝnl,adj  母亲的； 母系的,typical of the way a good mother behaves or feels,Annie was wonderfully warm and maternal.,sholvoir;ielts;exam;core,
expel,ɪk'spɛl,vt  把…开除； 驱逐,to officially force someone to leave a school or organization,More than five-thousand high school students have been expelled for cheating.,sholvoir;ielts;exam;core,
shelter,'ʃɛltɚ,v  掩蔽； 躲避; n 掩蔽，隐蔽；住所；保护,"to stay in or under a place where you are protected from the weather or from danger; protection from danger or from wind, rain, hot sun etc",Collins was arrested for sheltering enemy soldiers.,sholvoir;ielts;exam;core,
examine,ɪg'zæmɪn,vt  检查； 调查， 研究； 测验,to look at something carefully and thoroughly because you want to find out more about it,A team of divers was sent down to examine the wreck.,sholvoir;ielts;exam;core,
latitude,'lætɪtud,n 纬度；,"the distance north or south of the equator(= the imaginary line around the middle of the world ), measured in degrees",The birds breed in northern latitudes.,sholvoir;ielts;exam;core,
scan,skæn,v 扫描；浏览; n  扫描,to read something quickly; a medical test in which a special machine produces a picture of something inside your body,She scanned through the paper.,sholvoir;ielts;exam;core,
association,"ə,soʃɪ'eʃən",n  协会,"an organization that consists of a group of people who have the same aims, do the same kind of work etc",the Association of Master Builders,sholvoir;ielts;exam;core,
eliminate,ɪ'lɪmɪnet,vt  消灭， 消除； 淘汰,to completely get rid of something that is unnecessary or unwanted,Our team was eliminated in the first round.,sholvoir;ielts;exam;core,
landfill,'lænd'fɪl,n  垃圾堆； 垃圾填筑地， 废渣埋填地,a place where waste is buried under the ground,...the environmental costs of landfill.,sholvoir;ielts;exam;core,
augment,ɔɡ'mɛnt,vt  增加， 提高， 扩大,"to increase the value, amount, effectiveness etc of something",Any surplus was sold to augment their income.,sholvoir;ielts;exam;core,
identifiable,"aɪ,dɛntɪ'faɪəbl",adj  可辨认的， 可识别的； 可确定的， 可证明是同一的,able to be recognized,"In the corridor were four dirty, ragged bundles, just identifiable as human beings.",sholvoir;ielts;exam;core,
womb,wum,n  子宫； 发源地,the part of a woman’s or female animal’s body where her baby grows before it is born,...the development of the fetus in the womb.,sholvoir;ielts;exam;core,
destruction,dɪ'strʌkʃən,n  破坏， 毁灭， 摧毁,the act or process of destroying something or of being destroyed,"{""COLLOINEXA"":[""weapons of mass destruction""]}",sholvoir;ielts;exam;core,
stiff,stɪf,adv  极其， 非常; adj 硬的，僵硬的,"extremely bored, frightened, or worried; if someone or a part of their body is stiff, their muscles hurt and it is difficult for them to move","As a child, I was scared stiff of going down to the cellar.",sholvoir;ielts;exam;core,
prosper,'prɑspɚ,vi  繁荣， 兴旺； 成功,"if people or businesses prosper, they grow and develop in a successful way, especially by becoming rich or making a large profit",Businesses across the state are prospering.,sholvoir;ielts;exam;core,
bother,'bɑðɚ,v 打扰，烦扰；烦恼，操心; n  麻烦， 烦扰,to make the effort to do something; trouble or difficulty that has been caused by small problems and that usually only continues for a short time,"Why bother to go abroad, when there are so many nice places here?",sholvoir;ielts;exam;core,
renewal,rɪ'nuəl,n  更新， 恢复； 重新开始； 重建； 复兴； 续期； 重申,"when an activity, situation, or process begins again after a period when it had stopped",Mark’s contract comes up for renewal at the end of this year.,sholvoir;ielts;exam;core,
appeal,ə'pil,vi 呼吁；起诉，上诉；吸引; n  上诉， 申诉； 呼吁； 感染力， 吸引力,"to make a serious public request for help, money, information etc; an urgent request for something important",She is not happy with the decision and plans to appeal.,sholvoir;ielts;exam;core,
cardiovascular,",kɑrdɪo'væskjəlɚ",adj  心血管的,relating to the heart and  blood vessel s (= tubes through which blood flows around your body ) ,cardiovascular disease,sholvoir;ielts;exam;core,
swamp,swɑmp,vt 淹没；,to suddenly cover an area with a lot of water,Huge waves swamped the vessel.,sholvoir;ielts;exam;core,
entrepreneur,ˌɑntrəprəˈnɝ​,n  企业家； 承包人,"someone who starts a new business or arranges business deals in order to make money, often in a way that involves financial risks",How would you define personal growth as an entrepreneur?,sholvoir;ielts;exam;core,
transportation,",trænspɔr'teʃən",n  运输， 运输系统， 运输工具,a system or method for carrying passengers or goods from one place to another,"The city needs to improve its public transportation (= buses, trains etc ) .",sholvoir;ielts;exam;core,
dedicate,'dɛdɪket,vt  献 ； 题献词,"to say at the beginning of a book or film, or before a piece of music, that it has been written, made, or performed for someone that you love or respect","She dedicated her first album to Woody Allen, who she says understands her obsession.",sholvoir;ielts;exam;core,
appear,ə'pɪr,v  出现， 显露， 公开露面； 出场， 问世； 仿佛， 似乎,used to say that someone or something seems to have a particular quality or feeling,He tried hard to appear calm .,sholvoir;ielts;exam;core,
extensive,ɪk'stɛnsɪv,adj  广大的， 广阔的； 广泛的,"large in size, amount, or degree",The house stands in extensive grounds.,sholvoir;ielts;exam;core,
residential,",rɛzɪ'dɛnʃl",adj  居住的， 住宅的； 寄宿的,"a residential part of a town consists of private houses, with no offices or factories",a quiet residential neighbourhood,sholvoir;ielts;exam;core,
stab,stæb,v  刺， 戳,to push a knife into someone or something,He was stabbed to death in a fight.,sholvoir;ielts;exam;core,
monotonous,mə'nɑtənəs,adj  单调的， 无聊的,boring because of always being the same,a monotonous diet,sholvoir;ielts;exam;core,
inspire,ɪn'spaɪɚ,vt  鼓舞， 激起； 给…以灵感,to encourage someone by making them feel confident and eager to do something,We need someone who can inspire the team.,sholvoir;ielts;exam;core,
impart,ɪm'pɑrt,vt  给予， 赋予； 传授； 告知， 透露,to give a particular quality to something,She had information that she couldn’t wait to impart.,sholvoir;ielts;exam;core,
collaboration,"kə,læbə'reʃən",n  合作， 协作； 勾结， 通敌,"when you work together with another person or group to achieve something, especially in science or art",The company is building the centre in collaboration with the Institute of Offshore Engineering.,sholvoir;ielts;exam;core,
bureaucracy,bjʊ'rɑkrəsi,n  官僚主义； 官僚机构,"a complicated official system that is annoying or confusing because it has a lot of rules, processes etc",the reduction of unnecessary bureaucracy,sholvoir;ielts;exam;core,
legitimize,lɪ'dʒɪtəmaɪz,vt  使合法； 赋予合法权利,to make something official or legal,Acceptance by the UN would effectively legitimize the regime.,sholvoir;ielts;exam;core,
geometry,dʒɪ'ɑmətri,n  几何； 几何学,"the study in  mathematics  of the angles and shapes formed by the relationships of lines, surfaces, and solid objects in space",...the very ordered way in which mathematics and geometry describe nature.,sholvoir;ielts;exam;core,
glide,ɡlaɪd,vi&n  滑行， 滑翔,"to move smoothly and quietly, as if without effort",Waiters glide between tightly packed tables bearing trays of pasta.,sholvoir;ielts;exam;core,
overwork,'ovɚ'wɝk,v 使劳累过分；对…使用过度；滥用; n  过重的工作； 工作过度,to work too much or to make someone work too much; too much hard work,You’ve been overworking – why don’t you take a week off?,sholvoir;ielts;exam;core,
devote,dɪ'vot,vt  将…奉献给； 致力,"to use all or most of your time, effort etc in order to do something or help someone",He decided to devote the rest of his life to scientific investigation.,sholvoir;ielts;exam;core,
invest,ɪn'vɛst,v  投资； 投入； 授予， 赋予,"to buy shares, property, or goods because you hope that the value will increase and you can make a profit",I’ve got a few thousand dollars I’m looking to invest.,sholvoir;ielts;exam;core,
approximate,ə'prɑksɪmət,adj 近似的[ə'prɒksɪm3ɪt]; vt  近似,to be close to a particular number,"For each approximate solution of a parameterized problem, the app also displays the margin of error.",sholvoir;ielts;exam;core,
project,prəˈdʒɛkt; prɑdʒɛkt,v  放映； 投射， 发射； 突出， 伸出； 设计， 规划; n 计划，方案；课题，项目；工程[prə'dʒekt],"to stick out beyond an edge or surface; a carefully planned piece of work to get information about something, to build something, to improve something etc",projecting teeth,sholvoir;ielts;exam;core,
lateral,'lætərəl,adj  侧面的， 旁边的,"relating to the sides of something, or movement to the side",The wall is weak and requires lateral support.,sholvoir;ielts;exam;core,
